Rule ID,Source Sheet,Source Cell,Business Label Context,Workbook Formula,Cached Value,Implementation Status
WB_ESTIMATE_L17,Estimate,L17,Base Line Applications:  |         Cycle Count Directed |         Cycle Count - Non Directed Inventory Transfer | No Config,"IF(BA17>0,""Effort For No Application/Package"","" "")", ,CORE_ENGINE_OR_UI_MAPPED
WB_ESTIMATE_M17,Estimate,M17,Base Line Applications:  |         Cycle Count Directed |         Cycle Count - Non Directed Inventory Transfer | No Config,"IF(AND(TRIM($B$17)=""##"",$C$17<>""No Config""),1,0)",0,CORE_ENGINE_OR_UI_MAPPED
WB_ESTIMATE_N17,Estimate,N17,Base Line Applications:  |         Cycle Count Directed |         Cycle Count - Non Directed Inventory Transfer | No Config,"IF(AND(TRIM($D$17)=""##"",$E$17<>""No Config""),1,0)",0,CORE_ENGINE_OR_UI_MAPPED
WB_ESTIMATE_O17,Estimate,O17,Base Line Applications:  |         Cycle Count Directed |         Cycle Count - Non Directed Inventory Transfer | No Config,"IF(AND(TRIM($F$17)=""##"",$G$17<>""No Config""),1,0)",0,CORE_ENGINE_OR_UI_MAPPED
WB_ESTIMATE_P17,Estimate,P17,Base Line Applications:  |         Cycle Count Directed |         Cycle Count - Non Directed Inventory Transfer | No Config,"IF(AND(TRIM($H$17)=""##"",$I$17<>""No Config""),1,0)",0,CORE_ENGINE_OR_UI_MAPPED
WB_ESTIMATE_Q17,Estimate,Q17,Base Line Applications:  |         Cycle Count Directed |         Cycle Count - Non Directed Inventory Transfer | No Config,"IF(AND(TRIM($J$17)=""##"",$K$17<>""No Config""),1,0)",0,CORE_ENGINE_OR_UI_MAPPED
WB_ESTIMATE_R17,Estimate,R17,Base Line Applications:  |         Cycle Count Directed |         Cycle Count - Non Directed Inventory Transfer | No Config,"IF(AND(TRIM($B$18)=""##"",$C$18<>""No Config""),1,0)",0,CORE_ENGINE_OR_UI_MAPPED
WB_ESTIMATE_S17,Estimate,S17,Base Line Applications:  |         Cycle Count Directed |         Cycle Count - Non Directed Inventory Transfer | No Config,"IF(AND(TRIM($D$18)=""##"",$E$18<>""No Config""),1,0)",0,CORE_ENGINE_OR_UI_MAPPED
WB_ESTIMATE_T17,Estimate,T17,Base Line Applications:  |         Cycle Count Directed |         Cycle Count - Non Directed Inventory Transfer | No Config,"IF(AND(TRIM($F$18)=""##"",$G$18<>""No Config""),1,0)",0,CORE_ENGINE_OR_UI_MAPPED
WB_ESTIMATE_U17,Estimate,U17,Base Line Applications:  |         Cycle Count Directed |         Cycle Count - Non Directed Inventory Transfer | No Config,"IF(AND(TRIM($H$18)=""##"",$I$18<>""No Config""),1,0)",0,CORE_ENGINE_OR_UI_MAPPED
WB_ESTIMATE_V17,Estimate,V17,Base Line Applications:  |         Cycle Count Directed |         Cycle Count - Non Directed Inventory Transfer | No Config,"IF(AND(TRIM($J$18)=""##"",$K$18<>""No Config""),1,0)",0,CORE_ENGINE_OR_UI_MAPPED
WB_ESTIMATE_W17,Estimate,W17,Base Line Applications:  |         Cycle Count Directed |         Cycle Count - Non Directed Inventory Transfer | No Config,"IF(AND(TRIM($B$19)=""##"",$C$19<>""No Config""),1,0)",0,CORE_ENGINE_OR_UI_MAPPED
WB_ESTIMATE_X17,Estimate,X17,Base Line Applications:  |         Cycle Count Directed |         Cycle Count - Non Directed Inventory Transfer | No Config,"IF(AND(TRIM($D$19)=""##"",$E$19<>""No Config""),1,0)",0,CORE_ENGINE_OR_UI_MAPPED
WB_ESTIMATE_Y17,Estimate,Y17,Base Line Applications:  |         Cycle Count Directed |         Cycle Count - Non Directed Inventory Transfer | No Config,"IF(AND(TRIM($F$19)=""##"",$G$19<>""No Config""),1,0)",0,CORE_ENGINE_OR_UI_MAPPED
WB_ESTIMATE_Z17,Estimate,Z17,Base Line Applications:  |         Cycle Count Directed |         Cycle Count - Non Directed Inventory Transfer | No Config,"IF(AND(TRIM($H$19)=""##"",$I$19<>""No Config""),1,0)",0,CORE_ENGINE_OR_UI_MAPPED
WB_ESTIMATE_AA17,Estimate,AA17,Base Line Applications:  |         Cycle Count Directed |         Cycle Count - Non Directed Inventory Transfer | No Config,"IF(AND(TRIM($J$19)=""##"",$K$19<>""No Config""),1,0)",0,CORE_ENGINE_OR_UI_MAPPED
WB_ESTIMATE_AB17,Estimate,AB17,Base Line Applications:  |         Cycle Count Directed |         Cycle Count - Non Directed Inventory Transfer | No Config,"IF(AND(TRIM($B$20)=""##"",$C$20<>""No Config""),1,0)",0,CORE_ENGINE_OR_UI_MAPPED
WB_ESTIMATE_AC17,Estimate,AC17,Base Line Applications:  |         Cycle Count Directed |         Cycle Count - Non Directed Inventory Transfer | No Config,"IF(AND(TRIM($D$20)=""##"",$E$20<>""No Config""),1,0)",0,CORE_ENGINE_OR_UI_MAPPED
WB_ESTIMATE_AD17,Estimate,AD17,Base Line Applications:  |         Cycle Count Directed |         Cycle Count - Non Directed Inventory Transfer | No Config,"IF(AND(TRIM($F$20)=""##"",$G$20<>""No Config""),1,0)",0,CORE_ENGINE_OR_UI_MAPPED
WB_ESTIMATE_AE17,Estimate,AE17,Base Line Applications:  |         Cycle Count Directed |         Cycle Count - Non Directed Inventory Transfer | No Config,"IF(AND(TRIM($H$20)=""##"",$I$20<>""No Config""),1,0)",0,CORE_ENGINE_OR_UI_MAPPED
WB_ESTIMATE_AF17,Estimate,AF17,Base Line Applications:  |         Cycle Count Directed |         Cycle Count - Non Directed Inventory Transfer | No Config,"IF(AND(TRIM($J$20)=""##"",$K$20<>""No Config""),1,0)",0,CORE_ENGINE_OR_UI_MAPPED
WB_ESTIMATE_AG17,Estimate,AG17,Base Line Applications:  |         Cycle Count Directed |         Cycle Count - Non Directed Inventory Transfer | No Config,"IF(AND(TRIM($B$21)=""##"",$C$21<>""No Config""),1,0)",0,CORE_ENGINE_OR_UI_MAPPED
WB_ESTIMATE_AH17,Estimate,AH17,Base Line Applications:  |         Cycle Count Directed |         Cycle Count - Non Directed Inventory Transfer | No Config,"IF(AND(TRIM($D$21)=""##"",$E$21<>""No Config""),1,0)",0,CORE_ENGINE_OR_UI_MAPPED
WB_ESTIMATE_AI17,Estimate,AI17,Base Line Applications:  |         Cycle Count Directed |         Cycle Count - Non Directed Inventory Transfer | No Config,"IF(AND(TRIM($F$21)=""##"",$G$21<>""No Config""),1,0)",0,CORE_ENGINE_OR_UI_MAPPED
WB_ESTIMATE_AJ17,Estimate,AJ17,Base Line Applications:  |         Cycle Count Directed |         Cycle Count - Non Directed Inventory Transfer | No Config,"IF(AND(TRIM($H$21)=""##"",$I$21<>""No Config""),1,0)",0,CORE_ENGINE_OR_UI_MAPPED
WB_ESTIMATE_AK17,Estimate,AK17,Base Line Applications:  |         Cycle Count Directed |         Cycle Count - Non Directed Inventory Transfer | No Config,"IF(AND(TRIM($J$21)=""##"",$K$21<>""No Config""),1,0)",0,CORE_ENGINE_OR_UI_MAPPED
WB_ESTIMATE_AL17,Estimate,AL17,Base Line Applications:  |         Cycle Count Directed |         Cycle Count - Non Directed Inventory Transfer | No Config,"IF(AND(TRIM($B$22)=""##"",$C$22<>""No Config""),1,0)",0,CORE_ENGINE_OR_UI_MAPPED
WB_ESTIMATE_AM17,Estimate,AM17,Base Line Applications:  |         Cycle Count Directed |         Cycle Count - Non Directed Inventory Transfer | No Config,"IF(AND(TRIM($D$22)=""##"",$E$22<>""No Config""),1,0)",0,CORE_ENGINE_OR_UI_MAPPED
WB_ESTIMATE_AN17,Estimate,AN17,Base Line Applications:  |         Cycle Count Directed |         Cycle Count - Non Directed Inventory Transfer | No Config,"IF(AND(TRIM($F$22)=""##"",$G$22<>""No Config""),1,0)",0,CORE_ENGINE_OR_UI_MAPPED
WB_ESTIMATE_AO17,Estimate,AO17,Base Line Applications:  |         Cycle Count Directed |         Cycle Count - Non Directed Inventory Transfer | No Config,"IF(AND(TRIM($H$22)=""##"",$I$22<>""No Config""),1,0)",0,CORE_ENGINE_OR_UI_MAPPED
WB_ESTIMATE_AP17,Estimate,AP17,Base Line Applications:  |         Cycle Count Directed |         Cycle Count - Non Directed Inventory Transfer | No Config,"IF(AND(TRIM($J$22)=""##"",$K$22<>""No Config""),1,0)",0,CORE_ENGINE_OR_UI_MAPPED
WB_ESTIMATE_AQ17,Estimate,AQ17,Base Line Applications:  |         Cycle Count Directed |         Cycle Count - Non Directed Inventory Transfer | No Config,"IF(AND(TRIM($B$23)=""##"",$C$23<>""No Config""),1,0)",0,CORE_ENGINE_OR_UI_MAPPED
WB_ESTIMATE_AR17,Estimate,AR17,Base Line Applications:  |         Cycle Count Directed |         Cycle Count - Non Directed Inventory Transfer | No Config,"IF(AND(TRIM($D$23)=""##"",$E$23<>""No Config""),1,0)",0,CORE_ENGINE_OR_UI_MAPPED
WB_ESTIMATE_AS17,Estimate,AS17,Base Line Applications:  |         Cycle Count Directed |         Cycle Count - Non Directed Inventory Transfer | No Config,"IF(AND(TRIM($F$17)=""##"",$G$23<>""No Config""),1,0)",0,CORE_ENGINE_OR_UI_MAPPED
WB_ESTIMATE_AT17,Estimate,AT17,Base Line Applications:  |         Cycle Count Directed |         Cycle Count - Non Directed Inventory Transfer | No Config,"IF(AND(TRIM($H$23)=""##"",$I$23<>""No Config""),1,0)",0,CORE_ENGINE_OR_UI_MAPPED
WB_ESTIMATE_AU17,Estimate,AU17,Base Line Applications:  |         Cycle Count Directed |         Cycle Count - Non Directed Inventory Transfer | No Config,"IF(AND(TRIM($J$23)=""##"",$K$23<>""No Config""),1,0)",0,CORE_ENGINE_OR_UI_MAPPED
WB_ESTIMATE_AV17,Estimate,AV17,Base Line Applications:  |         Cycle Count Directed |         Cycle Count - Non Directed Inventory Transfer | No Config,"IF(AND(TRIM($B$24)=""##"",$C$24<>""No Config""),1,0)",0,CORE_ENGINE_OR_UI_MAPPED
WB_ESTIMATE_AW17,Estimate,AW17,Base Line Applications:  |         Cycle Count Directed |         Cycle Count - Non Directed Inventory Transfer | No Config,"IF(AND(TRIM($D$24)=""##"",$E$24<>""No Config""),1,0)",0,CORE_ENGINE_OR_UI_MAPPED
WB_ESTIMATE_AX17,Estimate,AX17,Base Line Applications:  |         Cycle Count Directed |         Cycle Count - Non Directed Inventory Transfer | No Config,"IF(AND(TRIM($F$24)=""##"",$G$24<>""No Config""),1,0)",0,CORE_ENGINE_OR_UI_MAPPED
WB_ESTIMATE_AY17,Estimate,AY17,Base Line Applications:  |         Cycle Count Directed |         Cycle Count - Non Directed Inventory Transfer | No Config,"IF(AND(TRIM($H$24)=""##"",$I$24<>""No Config""),1,0)",0,CORE_ENGINE_OR_UI_MAPPED
WB_ESTIMATE_AZ17,Estimate,AZ17,Base Line Applications:  |         Cycle Count Directed |         Cycle Count - Non Directed Inventory Transfer | No Config,"IF(AND(TRIM($J$24)=""##"",$K$24<>""No Config""),1,0)",0,CORE_ENGINE_OR_UI_MAPPED
WB_ESTIMATE_BA17,Estimate,BA17,Base Line Applications:  |         Cycle Count Directed |         Cycle Count - Non Directed Inventory Transfer | No Config,SUM(M17:AZ17),0,CORE_ENGINE_OR_UI_MAPPED
WB_ESTIMATE_B18,Estimate,B18,        Inventory Reclassification |         Inventory Adjustment Negative | No Config,"IF(E11>"" "",CONCATENATE(""        "",VLOOKUP(E11,Data!F84:AZ93,7,FALSE)),""        --"")",        Inventory Reclassification,CORE_ENGINE_OR_UI_MAPPED
WB_ESTIMATE_D18,Estimate,D18,        Inventory Reclassification |         Inventory Adjustment Negative | No Config,"IF(E11>"" "",CONCATENATE(""        "",VLOOKUP(E11,Data!F84:AZ93,8,FALSE)),""        --"")",        Inventory Adjustment Negative,CORE_ENGINE_OR_UI_MAPPED
WB_ESTIMATE_F18,Estimate,F18,        Inventory Reclassification |         Inventory Adjustment Negative | No Config,"IF(E11>"" "",CONCATENATE(""        "",VLOOKUP(E11,Data!F84:AZ93,9,FALSE)),""        --"")",        inventory Adjustment Positive,CORE_ENGINE_OR_UI_MAPPED
WB_ESTIMATE_H18,Estimate,H18,        Inventory Reclassification |         Inventory Adjustment Negative | No Config,"IF(E11>"" "",CONCATENATE(""        "",VLOOKUP(E11,Data!F84:AZ93,10,FALSE)),""        --"")",        Lot Status Update,CORE_ENGINE_OR_UI_MAPPED
WB_ESTIMATE_J18,Estimate,J18,        Inventory Reclassification |         Inventory Adjustment Negative | No Config,"IF(E11>"" "",CONCATENATE(""        "",VLOOKUP(E11,Data!F84:AZ93,11,FALSE)),""        --"")",        Pack Confirmation,CORE_ENGINE_OR_UI_MAPPED
WB_ESTIMATE_B19,Estimate,B19,        Pick Confirmation |         P O Receipt Label Option | No Config,"IF(E11>"" "",CONCATENATE(""        "",VLOOKUP(E11,Data!F84:AZ93,12,FALSE)),""        --"")",        Pick Confirmation,CORE_ENGINE_OR_UI_MAPPED
WB_ESTIMATE_D19,Estimate,D19,        Pick Confirmation |         P O Receipt Label Option | No Config,"IF(E11>"" "",CONCATENATE(""        "",VLOOKUP(E11,Data!F84:AZ93,13,FALSE)),""        --"")",        P O Receipt Label Option,CORE_ENGINE_OR_UI_MAPPED
WB_ESTIMATE_F19,Estimate,F19,        Pick Confirmation |         P O Receipt Label Option | No Config,"IF(E11>"" "",CONCATENATE(""        "",VLOOKUP(E11,Data!F84:AZ93,14,FALSE)),""        --"")",        Receipt Routing,CORE_ENGINE_OR_UI_MAPPED
WB_ESTIMATE_H19,Estimate,H19,        Pick Confirmation |         P O Receipt Label Option | No Config,"IF(E11>"" "",CONCATENATE(""        "",VLOOKUP(E11,Data!F84:AZ93,15,FALSE)),""        --"")",        RMA Returns,CORE_ENGINE_OR_UI_MAPPED
WB_ESTIMATE_J19,Estimate,J19,        Pick Confirmation |         P O Receipt Label Option | No Config,"IF(E11>"" "",CONCATENATE(""        "",VLOOKUP(E11,Data!F84:AZ93,16,FALSE)),""        --"")",        Ship Confirmation,CORE_ENGINE_OR_UI_MAPPED
WB_ESTIMATE_B20,Estimate,B20,        Warehouse Confirmation |         Work Order Issues | No Config,"IF(E11>"" "",CONCATENATE(""        "",VLOOKUP(E11,Data!F84:AZ93,17,FALSE)),""        --"")",        Warehouse Confirmation,CORE_ENGINE_OR_UI_MAPPED
WB_ESTIMATE_D20,Estimate,D20,        Warehouse Confirmation |         Work Order Issues | No Config,"IF(E11>"" "",CONCATENATE(""        "",VLOOKUP(E11,Data!F84:AZ93,18,FALSE)),""        --"")",        Work Order Issues,CORE_ENGINE_OR_UI_MAPPED
WB_ESTIMATE_F20,Estimate,F20,        Warehouse Confirmation |         Work Order Issues | No Config,"IF(E11>"" "",CONCATENATE(""        "",VLOOKUP(E11,Data!F84:AZ93,19,FALSE)),""        --"")",        W O Comp Label Option,CORE_ENGINE_OR_UI_MAPPED
WB_ESTIMATE_H20,Estimate,H20,        Warehouse Confirmation |         Work Order Issues | No Config,"IF(E11>"" "",CONCATENATE(""        "",VLOOKUP(E11,Data!F84:AZ93,20,FALSE)),""        --"")",        Inventory Cart Transfer,CORE_ENGINE_OR_UI_MAPPED
WB_ESTIMATE_J20,Estimate,J20,        Warehouse Confirmation |         Work Order Issues | No Config,"IF(E11>"" "",CONCATENATE(""        "",VLOOKUP(E11,Data!F84:AZ93,21,FALSE)),""        --"")",        Work Order Tiem Entry,CORE_ENGINE_OR_UI_MAPPED
WB_ESTIMATE_B21,Estimate,B21,        Work Order Parts Inquiry |         Work Order Reversal | No Config,"IF(E11>"" "",CONCATENATE(""        "",VLOOKUP(E11,Data!F84:AZ93,22,FALSE)),""        --"")",        Work Order Parts Inquiry,CORE_ENGINE_OR_UI_MAPPED
WB_ESTIMATE_D21,Estimate,D21,        Work Order Parts Inquiry |         Work Order Reversal | No Config,"IF(E11>"" "",CONCATENATE(""        "",VLOOKUP(E11,Data!F84:AZ93,23,FALSE)),""        --"")",        Work Order Reversal,CORE_ENGINE_OR_UI_MAPPED
WB_ESTIMATE_F21,Estimate,F21,        Work Order Parts Inquiry |         Work Order Reversal | No Config,"IF(E11>"" "",CONCATENATE(""        "",VLOOKUP(E11,Data!F84:AZ93,24,FALSE)),""        --"")",        Kanban Checkin,CORE_ENGINE_OR_UI_MAPPED
WB_ESTIMATE_H21,Estimate,H21,        Work Order Parts Inquiry |         Work Order Reversal | No Config,"IF(E11>"" "",CONCATENATE(""        "",VLOOKUP(E11,Data!F84:AZ93,25,FALSE)),""        --"")",        Kanban Check Out,CORE_ENGINE_OR_UI_MAPPED
WB_ESTIMATE_J21,Estimate,J21,        Work Order Parts Inquiry |         Work Order Reversal | No Config,"IF(E11>"" "",CONCATENATE(""        "",VLOOKUP(E11,Data!F84:AZ93,26,FALSE)),""        --"")",        Fixed Asset Transfer,CORE_ENGINE_OR_UI_MAPPED
WB_ESTIMATE_B22,Estimate,B22,        Fixed Aset Inquiry |         Fixed Asset Create Asset | No Config,"IF(E11>"" "",CONCATENATE(""        "",VLOOKUP(E11,Data!F84:AZ93,27,FALSE)),""        --"")",        Fixed Aset Inquiry,CORE_ENGINE_OR_UI_MAPPED
WB_ESTIMATE_D22,Estimate,D22,        Fixed Aset Inquiry |         Fixed Asset Create Asset | No Config,"IF(E11>"" "",CONCATENATE(""        "",VLOOKUP(E11,Data!F84:AZ93,28,FALSE)),""        --"")",        Fixed Asset Create Asset,CORE_ENGINE_OR_UI_MAPPED
WB_ESTIMATE_F22,Estimate,F22,        Fixed Aset Inquiry |         Fixed Asset Create Asset | No Config,"IF(E11>"" "",CONCATENATE(""        "",VLOOKUP(E11,Data!F84:AZ93,29,FALSE)),""        --"")",        Fixed Asset Disposal,CORE_ENGINE_OR_UI_MAPPED
WB_ESTIMATE_H22,Estimate,H22,        Fixed Aset Inquiry |         Fixed Asset Create Asset | No Config,"IF(E11>"" "",CONCATENATE(""        "",VLOOKUP(E11,Data!F84:AZ93,30,FALSE)),""        --"")",        Fixed Asset Count,CORE_ENGINE_OR_UI_MAPPED
WB_ESTIMATE_J22,Estimate,J22,        Fixed Aset Inquiry |         Fixed Asset Create Asset | No Config,"IF(E11>"" "",CONCATENATE(""        "",VLOOKUP(E11,Data!F84:AZ93,31,FALSE)),""        --"")",        Fixed Asset Change Owner,CORE_ENGINE_OR_UI_MAPPED
WB_ESTIMATE_B23,Estimate,B23,        ## | No Config,"IF(E11>"" "",CONCATENATE(""        "",VLOOKUP(E11,Data!F84:AZ93,32,FALSE)),""        --"")",        ##,CORE_ENGINE_OR_UI_MAPPED
WB_ESTIMATE_D23,Estimate,D23,        ## | No Config,"IF(E11>"" "",CONCATENATE(""        "",VLOOKUP(E11,Data!F84:AZ93,33,FALSE)),""        --"")",        ##,CORE_ENGINE_OR_UI_MAPPED
WB_ESTIMATE_F23,Estimate,F23,        ## | No Config,"IF(E11>"" "",CONCATENATE(""        "",VLOOKUP(E11,Data!F84:AZ93,34,FALSE)),""        --"")",        ##,CORE_ENGINE_OR_UI_MAPPED
WB_ESTIMATE_H23,Estimate,H23,        ## | No Config,"IF(E11>"" "",CONCATENATE(""        "",VLOOKUP(E11,Data!F84:AZ93,35,FALSE)),""        --"")",        ##,CORE_ENGINE_OR_UI_MAPPED
WB_ESTIMATE_J23,Estimate,J23,        ## | No Config,"IF(E11>"" "",CONCATENATE(""        "",VLOOKUP(E11,Data!F84:AZ93,36,FALSE)),""        --"")",        ##,CORE_ENGINE_OR_UI_MAPPED
WB_ESTIMATE_B24,Estimate,B24,        PKG PO / Req Gen |         PKG PO / Req Approve | No Config,"IF(E11>"" "",CONCATENATE(""        "",VLOOKUP(E11,Data!F99:P107,2,FALSE)),""        --"")",        PKG PO / Req Gen,CORE_ENGINE_OR_UI_MAPPED
WB_ESTIMATE_D24,Estimate,D24,        PKG PO / Req Gen |         PKG PO / Req Approve | No Config,"IF(E11>"" "",CONCATENATE(""        "",VLOOKUP(E11,Data!F99:P107,3,FALSE)),""        --"")",        PKG PO / Req Approve,CORE_ENGINE_OR_UI_MAPPED
WB_ESTIMATE_F24,Estimate,F24,        PKG PO / Req Gen |         PKG PO / Req Approve | No Config,"IF(E11>"" "",CONCATENATE(""        "",VLOOKUP(E11,Data!F99:P107,4,FALSE)),""        --"")",        PKG Route Sales,CORE_ENGINE_OR_UI_MAPPED
WB_ESTIMATE_H24,Estimate,H24,        PKG PO / Req Gen |         PKG PO / Req Approve | No Config,"IF(E11>"" "",CONCATENATE(""        "",VLOOKUP(E11,Data!F99:P107,5,FALSE)),""        --"")",        PKG Field Service,CORE_ENGINE_OR_UI_MAPPED
WB_ESTIMATE_J24,Estimate,J24,        PKG PO / Req Gen |         PKG PO / Req Approve | No Config,"IF(E11>"" "",CONCATENATE(""        "",VLOOKUP(E11,Data!F99:P107,6,FALSE)),""        --"")",        ##,CORE_ENGINE_OR_UI_MAPPED
WB_ESTIMATE_M24,Estimate,M24,        PKG PO / Req Gen |         PKG PO / Req Approve | No Config,"IF(C24=""No Config"",0,1)",0,CORE_ENGINE_OR_UI_MAPPED
WB_ESTIMATE_N24,Estimate,N24,        PKG PO / Req Gen |         PKG PO / Req Approve | No Config,"IF(E24=""No Config"",0,1)",0,CORE_ENGINE_OR_UI_MAPPED
WB_ESTIMATE_O24,Estimate,O24,        PKG PO / Req Gen |         PKG PO / Req Approve | No Config,"IF(G24=""No Config"",0,1)",0,CORE_ENGINE_OR_UI_MAPPED
WB_ESTIMATE_P24,Estimate,P24,        PKG PO / Req Gen |         PKG PO / Req Approve | No Config,"IF(I24=""No Config"",0,1)",0,CORE_ENGINE_OR_UI_MAPPED
WB_ESTIMATE_Q24,Estimate,Q24,        PKG PO / Req Gen |         PKG PO / Req Approve | No Config,"IF(K24=""No Config"",0,1)",0,CORE_ENGINE_OR_UI_MAPPED
WB_ESTIMATE_R24,Estimate,R24,        PKG PO / Req Gen |         PKG PO / Req Approve | No Config,SUM(M24:Q24),0,CORE_ENGINE_OR_UI_MAPPED
WB_ESTIMATE_K25,Estimate,K25,,"COUNTIF(C17:C23,""Baseline*"")+COUNTIF(E17:E23,""Baseline*"")+COUNTIF(G17:G23,""Baseline*"")+COUNTIF(I17:I23,""Baseline*"")+COUNTIF(K17:K23,""Baseline*"")",0,CORE_ENGINE_OR_UI_MAPPED
WB_ESTIMATE_K26,Estimate,K26,,"COUNTIF(C17:C23,""Mod Required"")+COUNTIF(E17:E23,""Mod Required"")+COUNTIF(G17:G23,""Mod Required"")+COUNTIF(I17:I23,""Mod Required"")+COUNTIF(K17:K23,""Mod Required"")",0,CORE_ENGINE_OR_UI_MAPPED
WB_ESTIMATE_L26,Estimate,L26,,SUM(K25:K27),0,CORE_ENGINE_OR_UI_MAPPED
WB_ESTIMATE_K27,Estimate,K27,,R24,0,CORE_ENGINE_OR_UI_MAPPED
WB_ESTIMATE_L29,Estimate,L29,Custom Applications: | No Config,"IF(AG29>0,""Description and no effort"","" "")", ,CORE_ENGINE_OR_UI_MAPPED
WB_ESTIMATE_M29,Estimate,M29,Custom Applications: | No Config,"IF(AND($B$29=0,$C$29<>""No Config""),1,0)",0,CORE_ENGINE_OR_UI_MAPPED
WB_ESTIMATE_N29,Estimate,N29,Custom Applications: | No Config,"IF(AND($D$29=0,$E$29<>""No Config""),1,0)",0,CORE_ENGINE_OR_UI_MAPPED
WB_ESTIMATE_O29,Estimate,O29,Custom Applications: | No Config,"IF(AND($F29=0,$G$29<>""No Config""),1,0)",0,CORE_ENGINE_OR_UI_MAPPED
WB_ESTIMATE_P29,Estimate,P29,Custom Applications: | No Config,"IF(AND($H$29=0,$I$29<>""No Config""),1,0)",0,CORE_ENGINE_OR_UI_MAPPED
WB_ESTIMATE_Q29,Estimate,Q29,Custom Applications: | No Config,"IF(AND($J$29=0,$K$29<>""No Config""),1,0)",0,CORE_ENGINE_OR_UI_MAPPED
WB_ESTIMATE_R29,Estimate,R29,Custom Applications: | No Config,"IF(AND($B$30=0,$C$30<>""No Config""),1,0)",0,CORE_ENGINE_OR_UI_MAPPED
WB_ESTIMATE_S29,Estimate,S29,Custom Applications: | No Config,"IF(AND($D$30=0,$E$30<>""No Config""),1,0)",0,CORE_ENGINE_OR_UI_MAPPED
WB_ESTIMATE_T29,Estimate,T29,Custom Applications: | No Config,"IF(AND($F30=0,$G$30<>""No Config""),1,0)",0,CORE_ENGINE_OR_UI_MAPPED
WB_ESTIMATE_U29,Estimate,U29,Custom Applications: | No Config,"IF(AND($H$30=0,$I$30<>""No Config""),1,0)",0,CORE_ENGINE_OR_UI_MAPPED
WB_ESTIMATE_V29,Estimate,V29,Custom Applications: | No Config,"IF(AND($J$30=0,$K$30<>""No Config""),1,0)",0,CORE_ENGINE_OR_UI_MAPPED
WB_ESTIMATE_W29,Estimate,W29,Custom Applications: | No Config,"IF(AND($B$31=0,$C$31<>""No Config""),1,0)",0,CORE_ENGINE_OR_UI_MAPPED
